task_id,tripwire_id,parameterized,actionable,calibrated
a1,tw_auth_post_status,1,1,1
a1,tw_auth_token_field,1,1,1
a1,tw_inventory_item_schema,1,1,1
a1,tw_inventory_list_status,1,1,1
a1,tw_inventory_sku_count,1,1,1
a1,tw_pricing_currency_usd,1,1,1
a1,tw_pricing_status,1,1,1
a1,tw_pricing_unit_price_absent,1,1,1
a1,tw_shipping_schema,1,1,1
a1,tw_shipping_status,1,1,1
a1,tw_tool_order_auth_first,1,1,1
a1,tw_worker_auth_rejected,1,1,1
b1,tw_order_s1_s2_before_validate,1,1,1
b1,tw_s1_settings_has_old_key,1,1,1
b1,tw_s1_settings_put_ok,1,1,1
b1,tw_s1_value_preserved,1,1,1
b1,tw_s2_file_list_ok,1,1,1
b1,tw_s2_src_annotation_present,1,1,1
b1,tw_s2_src_put_ok,1,1,1
b1,tw_s3_readme_exists,1,1,1
b1,tw_s3_validate_200,1,1,1
b1,tw_s3_validate_schema,1,1,1
b1,tw_s4_checks_run_nonzero,1,1,0
b1,tw_s4_validate_passed,1,1,1
c1,tw_auth_token_field,1,1,1
c1,tw_auth_token_http,1,1,1
c1,tw_docs_bearer_rejected,1,1,1
c1,tw_package_conflict,1,1,1
c1,tw_package_id_field,1,1,1
c1,tw_passage_content_field,1,1,0
c1,tw_passage_ops_warehouses,1,1,1
c1,tw_passage_pol_returns,1,1,1
c1,tw_passage_ven_terms,1,1,1
c1,tw_validate_http_error,1,1,1
c1,tw_validate_not_passed,1,1,1
c1,tw_validate_passed_field,1,1,0
d1,tw_auth_token,1,1,1
d1,tw_auth_token_field,1,1,1
d1,tw_inventory_items_http,1,1,1
d1,tw_package_conflict,1,1,1
d1,tw_package_id_absent,1,1,1
d1,tw_package_order,1,1,1
d1,tw_passage_ops_http,1,1,1
d1,tw_passage_pricing_http,1,1,1
d1,tw_sku_schema,1,1,1
d1,tw_validate_checks_zero,1,1,0
d1,tw_validate_not_passed,1,1,1
d1,tw_validate_schema,1,1,1
